Mention_Type,Date,Title,Link,Snippet
Joint Mention,2026-01-06 03:30:08 UTC,The Investor Trap - Shayak Mazumder,https://www.linkedin.com/posts/smhaaz_the-investor-trap-build-vs-buy-everyone-activity-7414146224112558080-UtEE,Shayak Mazumder's Post. View profile for Shayak Mazumder. Shayak Mazumder. CEO ... ADYA AI Independence Week Launch. Shayak Mazumder 5mo · Beyond the Hype ...Read more
Joint Mention,2026-01-04 03:30:31 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_post-5-the-lessons-learnt-and-the-power-activity-7413421546196701184-guxU,View profile for Shayak Mazumder · Shayak Mazumder. CEO & CTO - Artificial ... ADYA AI Independence Week Launch. Shayak Mazumder 5mo · Beyond the Hype ...Read more
Joint Mention,2026-01-02 14:29:10 UTC,Excellent article by Nabodita Ganguly | Shayak Mazumder,https://www.linkedin.com/posts/smhaaz_excellent-article-by-nabodita-ganguly-activity-7412862526238904321-xkK3,Shayak Mazumder's Post. View profile for Shayak Mazumder. Shayak Mazumder. CEO ... ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype ...Read more
Joint Mention,2026-01-02 14:28:13 UTC,Adya Launchlab coming to Kerala! | Shayak Mazumder,https://www.linkedin.com/posts/smhaaz_adya-launchlab-coming-to-kerala-activity-7412862284810821632-TCgL,"Shayak Mazumder 2mo · ADYA AI Independence Week Launch. Shayak Mazumder 6mo · Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2026-01-02 03:30:21 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_post-3-why-we-decided-to-build-the-adya-activity-7412696728119795713-jw14,"Shayak Mazumder 2mo. ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2026-01-01 06:13:57 UTC,Someone did string everything together. Team Adya,https://www.linkedin.com/posts/smhaaz_someone-did-string-everything-together-team-activity-7412375513211748352-BCP7,"Shayak Mazumder 3w · ADYA AI Independence Week Launch. Shayak Mazumder 5mo · Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 10mo ...Read more"
Joint Mention,2025-12-30 08:30:01 UTC,#aiplatform #slms #enterpriseai #adya #futureofai,https://www.linkedin.com/posts/smhaaz_aiplatform-slms-enterpriseai-activity-7411684980118151168-23I2,"Shayak Mazumder. CEO & CTO - Artificial Intelligence, GenAI, Agentic AI, LLMs ... ADYA AI Independence Week Launch. Shayak Mazumder 6mo · Beyond the Hype ...Read more"
Joint Mention,2025-12-30 03:30:39 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_agenticai-reasoningmodels-genai-activity-7411609639932346368-en3G,"ADYA AI Independence Week Launch. Shayak Mazumder 4mo · Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 9mo · #ONDC and # ...Read more"
Joint Mention,2025-12-29 08:30:03 UTC,#distribution #gotomarket #ai #startups #adya | Shayak ...,https://www.linkedin.com/posts/smhaaz_distribution-gotomarket-ai-activity-7411322601102401536-LBKO,"ADYA AI Independence Week Launch. Shayak Mazumder 4mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 9mo. #ONDC and #Shopify_Audiences.Read more"
Joint Mention,2025-12-29 03:30:10 UTC,#aieconomics #startups #llm #cloud #adya | Shayak ...,https://www.linkedin.com/posts/smhaaz_aieconomics-startups-llm-activity-7411247131707232256-4RX0,"Shayak Mazumder 2mo. ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2025-12-20 10:05:11 UTC,Sri Eshwar College of Engineering's Post,https://www.linkedin.com/posts/srieshwar_tech-talk-thiran-2026-spotlight-event-activity-7408085051873169408-VCss,"TECH TALK: THIRAN 2026 SPOTLIGHT EVENT Presenting our Tech Talk Speaker: Mr.Shayak Mazumder – CEO & CTO, Adya.AI Apart from being an AI pioneer, ..."
Joint Mention,2025-12-20 07:03:45 UTC,Shankar K's Post,https://www.linkedin.com/posts/shankar-k-_stateoftheart-v2v-team-activity-7408039391161614337-hakn,... adya.ai) enable developers to design and deploy agentic systems end to end ... Shayak Mazumder (I was very happy to hear that). Building a sub-second ...
Joint Mention,2025-12-20 03:29:50 UTC,AI-Powered Recruitment Management with Adya AI,https://www.linkedin.com/posts/bharath-krishnan-s-32b3b1291_adyaai-artificialintelligence-hrtech-activity-7407985555818348544-Y_9X,"... Shayak Mazumder and Adya team for the guidance and leadership behind Adya AI, which made building and exploring this solution possible. #AdyaAI ..."
